lat,lon
-23.5681414,-46.585937
-23.5641911,-46.5900782
-23.5577942,-46.5807758
-23.5584562,-46.5802166
-23.5591034,-46.582149
-23.5585033,-46.5804931
-23.559545,-46.5830948
-23.558291,-46.5833654
-23.546026,-46.5920024
-23.5461681,-46.5921271
-23.5503717,-46.5084698
-23.5498311,-46.5080584
-23.5493266,-46.5020921
-23.5432637,-46.41316
-23.5422726,-46.4195285
-23.5158727,-46.5833976
-23.4464279,-46.6900709
-23.5301765,-46.6627507
-23.5295003,-46.6633132
-23.4731037,-46.5780547
-23.5091473,-46.5923899
-23.6307895,-46.6393786
-23.6306396,-46.6392606
-23.5412882,-46.7166403
-23.5263168,-46.6417048
-23.5601285,-46.6429489
-23.5266185,-46.6427947
-23.5242234,-46.6440946
-23.5241634,-46.6439974
-23.5232384,-46.6446273
-23.5224712,-46.5927057
-23.5230429,-46.5918074
-23.5155029,-46.5946569
-23.5498093,-46.6451364
-23.5503688,-46.6451046
-23.5504533,-46.6453592
-23.5501573,-46.6451834
-23.5499505,-46.6453105
-23.5500135,-46.6452273
-23.5467537,-46.6392177
-23.5575585,-46.6456233
-23.5571061,-46.645685
-23.5592248,-46.6465156
-23.5588093,-46.646529
-23.5582883,-46.6463456
-23.5568553,-46.6467266
-23.5590083,-46.6466551
-23.5480167,-46.5901652
-23.6066904,-46.6214046
-23.5292339,-46.4785295
-23.5485675,-46.5383464
-23.548983,-46.5358412
-23.5484114,-46.5372587
-23.5475827,-46.5394702
-23.5480634,-46.5391349
-23.5611158,-46.7167171
-23.5389331,-46.6878439
-23.5783744,-46.6413053
-23.5688171,-46.6471224
-23.578957,-46.6409809
-23.5572882,-46.6629785
-23.557854,-46.6633002
-23.5739568,-46.6419944
-23.6113471,-46.6366548
-23.5783228,-46.6427218
-23.577939,-46.642715
-23.5673758,-46.6590783
-23.5410967,-46.6821556
-23.5236826,-46.5936592
-23.5136955,-46.6633077
-23.5140664,-46.6607274
-23.5146293,-46.6555768
-23.5126876,-46.5881952
-23.6212806,-46.6344893
-23.5291607,-46.4976486
-23.5630503,-46.6825837
-23.5394089,-46.6842393
-23.620592,-46.6363552
-23.6210731,-46.6341876
-23.6211311,-46.6331141
-23.6218629,-46.6306565
-23.606211,-46.6365625
-23.6089268,-46.6369856
-23.610954,-46.63695
-23.6116073,-46.6366431
-23.6064583,-46.6409688
-23.6062583,-46.6414338
-23.7192102,-46.6818344
-23.5997847,-46.6260278
-23.5823521,-46.6866036
-23.5469555,-46.5415139
-23.5351235,-46.6202833
-23.5346441,-46.6036879
-23.4992792,-46.622643
-23.5599638,-46.6293128
-23.567531,-46.6219409
-23.5823723,-46.6761683
-23.5824215,-46.676517
-23.5886866,-46.7275957
-23.6569426,-46.7171933
-23.6433322,-46.7332627
-23.5965494,-46.6477333
-23.6134588,-46.6020746
-23.6144292,-46.6088991
-23.6260972,-46.7364831
-23.6134741,-46.7422316
-23.5544378,-46.7097191
-23.5033095,-46.7524265
-23.5035183,-46.7523724
-23.9488092,-46.7273389
-23.6287852,-46.7354197
-23.5071477,-46.7096306
-23.6348905,-46.7275357
-23.6338369,-46.7288947
-23.6333086,-46.7290181
-23.5442478,-46.6572191
-23.5230912,-46.522578
-23.5229324,-46.5140468
-23.5827486,-46.6841124
-23.5079958,-46.4292372
-23.5541913,-46.6469574
-23.5230134,-46.5322413
-23.5231295,-46.5325042
-23.525785,-46.5206823
-23.4381016,-46.7289522
-23.4377426,-46.7288229
-23.5569546,-46.6882497
-23.5242552,-46.6415921
-23.5247733,-46.6411221
-23.5308614,-46.6381604
-23.4795171,-46.6140096
-23.5538686,-46.6532148
-23.5554257,-46.6558957
-23.4806103,-46.6893352
-23.5662998,-46.6630328
-23.5673434,-46.7003452
-23.5415597,-46.6508106
-23.5415706,-46.6502293
-23.5530035,-46.6565065
-23.5926857,-46.6815694
-23.5606236,-46.4742841
-23.5629487,-46.474606
-23.5558496,-46.4781813
-23.5411371,-46.6062416
-23.5466424,-46.6504728
-23.4832465,-46.5907541
-23.4912764,-46.5965958
-23.4947195,-46.5980707
-23.4961767,-46.5982746
-23.4771608,-46.5804569
-23.4764444,-46.5793989
-23.4766632,-46.5794965
-23.4727807,-46.5714941
-23.4786689,-46.5775576
-23.4788007,-46.5774777
-23.4825646,-46.5741237
-23.4824315,-46.5742245
-23.5185508,-46.6110088
-23.5172546,-46.6112957
-23.5154,-46.6081517
-23.4852045,-46.5693868
-23.4737772,-46.5755498
-23.4850123,-46.5831009
-23.4878504,-46.5799071
-23.4838726,-46.5848278
-23.4814253,-46.5939522
-23.4812515,-46.5940849
-23.4812556,-46.5972584
-23.4900943,-46.5835068
-23.4912906,-46.5911725
-23.4939302,-46.5918558
-23.492934,-46.5935472
-23.4933825,-46.5831123
-23.4893701,-46.5876169
-23.5007326,-46.5890288
-23.5680376,-46.6886448
-23.5565657,-46.6638449
-23.5566942,-46.6639534
-23.5381497,-46.6214835
